Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Out/At Intersection,Traffic Light
,8.583365,0,0,-0.3995976,-438.4,485.4,out of intersection,Green
,11.35238,0,34.90196,-0.4369771,-442,483.9,out of intersection,Green
,16.34664,0,0,-0.09866053,-447.3,479.4,out of intersection,Green
5,17.55601,0,0,0,-466.9,355.4,out of intersection,Green
,20.18399,0,0,0,-459.1,351.4,out of intersection,Green
,21.55106,0,0,-0.01347576,-450,346.8,out of intersection,Green
,19.6184,0,0,0,-442.6,343.1,out of intersection,Green
,17.14602,0,0,0.0208658,-434.9,339.5,out of intersection,Green
,15.61128,0,0,0.0306783,-429.1,336.7,out of intersection,Green
,13.13452,0,0,0.003755252,-423.1,333.4,out of intersection,Green
,11.71822,0,0,0.01997654,-418.3,330.8,out of intersection,Green
,14.075,0,100,0.01016404,-413.2,327.9,out of intersection,Green
,19.03149,0,100,0.002099393,-406.7,324.1,In intersection,Green
,23.18145,0,78.03922,-0.001823417,-398.5,319,In intersection,Green
,26.91248,0,0,-0.01464099,-388.7,312.9,In intersection,Green
3,23.2823,0,0,0,-175.7,194,out of intersection,Green
,23.28221,0,0,0,-167.7,186.5,out of intersection,Green
,23.27409,0,0,-0.04763553,-159.9,179.2,out of intersection,Green
,21.5261,0,9.019608,-0.06342752,-153,173.1,out of intersection,Green
,21.47281,0,0,-0.02994236,-144.8,167.1,out of intersection,Green
,19.11321,0,34.90196,-0.04217732,-137,162,out of intersection,Green
,23.6252,0,47.45098,-0.030341,-129,157.2,In intersection,Green
,27.59429,0,14.5098,0,-118.8,151.7,In intersection,Green
