Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Cosine Curves
,28.0927,0,0,0.008324198,-239.1,-304.8,0
,28.73135,0,0,0.008324198,-238.4,-303.7,0
,29.32689,0,0,0.008324198,-237.7,-302.6,0
,29.083,0,0,0.007618924,-237,-301.5,0
,28.83936,0,0,0.001700761,-236.3,-300.5,0
,28.60892,0,0,0,-235.6,-299.4,0
,28.3995,0,0,-0.008600174,-234.9,-298.4,0
,28.18107,0,0,-0.01663416,-234,-297.1,0
,27.95063,0,0,-0.02304295,-233.4,-296.1,0
,27.75484,0,0,-0.02393221,-232.7,-295,0
,27.57803,0,0,-0.02288963,-232,-294,0
,27.38443,0,0,-0.02046717,-231.3,-293,0
,27.21167,0,0,-0.01681814,-230.5,-291.8,0
,26.98589,0,0,-0.01283182,-229.9,-290.8,0
,26.7903,0,0,-0.01145193,-229.3,-289.8,0
,26.59558,0,0,-0.01080799,-228.5,-288.6,0
,26.37026,0,0,-0.009244121,-227.9,-287.6,0
,26.19497,0,0,-0.008661502,-227.3,-286.6,0
,26.01695,0,0,-0.008661502,-226.6,-285.6,0
,25.84192,0,0,-0.008630839,-225.9,-284.4,0
,25.63401,0,0,-0.007986893,-225.3,-283.4,0
,25.46335,0,0,-0.006821658,-224.7,-282.5,0
,25.29544,0,0,-0.003233964,-224.1,-281.5,0
,25.1282,0,0,0,-223.4,-280.4,0
,24.93007,0,0,0,-222.8,-279.4,0
,24.76789,0,0,0.000320878,-222.3,-278.5,0
,24.60711,0,0,0.00758826,-221.6,-277.4,0
,24.4187,0,0,0.01605154,-221,-276.4,0
,24.2624,0,26.27451,0.0232576,-220.5,-275.5,0
,24.11068,0,52.15686,0.0299117,-219.9,-274.6,0
,24.62599,0,78.82353,0.03616717,-219.3,-273.6,0
,25.19319,0,100,0.04052147,-218.6,-272.5,0
,25.82963,0,100,0.04070545,-218,-271.5,0
,26.37366,0,100,0.03552322,-216.7,-269.5,0
,27.4182,0,100,0.02442283,-216,-268.4,0
,27.93806,0,100,0.01093064,-215.1,-267.2,0
,28.5571,0,100,0,-214.4,-266.1,0
,29.06331,0,100,-0.006790995,-213.6,-265,0
,29.56626,0,100,-0.01586756,-212.9,-263.9,0
,30.06353,0,100,-0.02525076,-212.1,-262.8,0
,30.49327,0,100,-0.0291451,-211.3,-261.7,0
,30.50171,0,100,-0.0291451,-210.5,-260.6,0
,30.50189,0,100,-0.0291451,-209.7,-259.5,0
,30.50191,0,100,-0.02896111,-209,-258.4,0
,30.50191,0,100,-0.02647732,-208.2,-257.3,0
,30.50192,0,100,-0.02049783,-207.4,-256.2,0
,30.50193,0,76.47059,-0.01709412,-206.7,-255.1,0
,30.50198,0,70.19608,-0.01684881,-205.9,-253.9,0
,30.50199,0,70.19608,-0.01663416,-205.1,-252.8,0
,30.502,0,63.92157,-0.01663416,-204.4,-251.7,0
,30.50193,0,45.09804,-0.01663416,-203.6,-250.6,0
,30.50151,0,39.60785,-0.01724744,-202.9,-249.4,0
,30.50545,0,11.37255,-0.02126443,-202.1,-248.3,0
5,8.039295,0,0,0,-165.5,-192,0
,8.749041,0,0,0,-165.2,-191.6,0
,9.56732,0,0,0,-164.9,-191.1,0
,10.26039,0,0,0,-164.7,-190.6,0
,11.05938,0,0,0,-164.3,-190,0
,11.84521,0,0,0,-163.9,-189.4,0
,12.46423,0,0,0,-163.6,-188.8,0
,13.04758,0,0,0,-163.3,-188.2,0
,13.70898,0,0,0,-162.9,-187.6,0
,14.7733,0,0,0,-162.3,-186.4,0
,15.7717,0,0,0,-161.8,-185.6,0
,16.3924,0,0,0,-161.4,-184.9,0
,17.02486,0,0,0,-160.9,-184.1,0
,17.82511,0,0,0,-160.5,-183.3,0
,18.22391,0,0,0,-159.9,-182.3,0
,19.03851,0,0,0,-159.3,-181.2,0
,19.12715,0,0,-0.000750175,-158.7,-180.2,0
,19.12715,0,0,-0.009581424,-158.3,-179.4,0
